utterance_id	original_text	normalized_text
001_001_000037_000001	你想想看 我們兄弟何必跑這麼遠 到這種地方 來這裡討生活 來這裡冒險 你沒有聽人說過嗎 人無橫財不富 我們如果想要有錢 就要付出代價	你想想看 我們兄弟何必跑這麼遠 到這種地方 來這裡討生活 來這裡冒險 你沒有聽人說過嗎 人無橫財不富 我們如果想要有錢 就要付出代價
001_001_000038_000001	等我們這次 任務完成之後 我們三個人 就能翻身變成有錢人了 大哥	等我們這次 任務完成之後 我們三個人 就能翻身變成有錢人了 大哥
001_001_000039_000001	到時候我們兩個人 就穿得很時髦 包一個很大包的紅包 去參加進輝的婚禮 你講得我好期待 好 我們就這樣說定了 到時候你們兩個做哥哥的 一定要參加我的婚禮 那當然	到時候我們兩個人 就穿得很時髦 包一個很大包的紅包 去參加進輝的婚禮 你講得我好期待 好 我們就這樣說定了 到時候你們兩個做哥哥的 一定要參加我的婚禮 那當然
001_001_000050_000001	鬼王 取這什麼名字 我原本以為多恐怖 結果看到不是一樣 一個普通人而已 你就是太單純了 才會說這種話 你看	鬼王 取這什麼名字 我原本以為多恐怖 結果看到不是一樣 一個普通人而已 你就是太單純了 才會說這種話 你看
001_001_000051_000001	一個外地人 在這種人吃人的地方 可以當到老大 手上不知道沾了多少血 他絕對不是普通人那麼簡單 太誇張了 被你講得好像會飛天遁地 會把人生吞活剝的那種惡魔	一個外地人 在這種人吃人的地方 可以當到老大 手上不知道沾了多少血 他絕對不是普通人那麼簡單 太誇張了 被你講得好像會飛天遁地 會把人生吞活剝的那種惡魔
001_001_000053_000001	反正我們現在任務 已經完成了 你不要自尋煩惱 這麼緊張好不好 那是因為大哥他有說過 他一定要把我們平安帶回去 他才會這麼有壓力	反正我們現在任務 已經完成了 你不要自尋煩惱 這麼緊張好不好 那是因為大哥他有說過 他一定要把我們平安帶回去 他才會這麼有壓力
001_001_000059_000001	你只要不殺我們 這件事我們絕對不會說出去 你要鑽石對不對	你只要不殺我們 這件事我們絕對不會說出去 你要鑽石對不對
001_001_000066_000001	我是不是會死在這裡 別亂說話 我一定會把你平安帶回去	我是不是會死在這裡 別亂說話 我一定會把你平安帶回去
001_001_000069_000001	早就叫你要小心 你看你現在搞成這樣 真的是 大哥 二哥抱歉 是我的錯 我拖累你們了	早就叫你要小心 你看你現在搞成這樣 真的是 大哥 二哥抱歉 是我的錯 我拖累你們了
001_001_000071_000001	大哥 有狗在叫 糟了 他們放狗來找我們了	大哥 有狗在叫 糟了 他們放狗來找我們了
001_001_000073_000001	萬一這次 這次我如果沒辦法回去 我拜託你 你一定要替我 照顧我的妻兒好嗎 我拜託你 算我求你 我拜託你 我不要	萬一這次 這次我如果沒辦法回去 我拜託你 你一定要替我 照顧我的妻兒好嗎 我拜託你 算我求你 我拜託你 我不要
001_001_000075_000001	大哥 他們好像快找過來了 我們快走 再不走就來不及了	大哥 他們好像快找過來了 我們快走 再不走就來不及了
001_001_000079_000001	進輝的血這樣一直流 那些狗聞到味道 一定很快就找過來了	進輝的血這樣一直流 那些狗聞到味道 一定很快就找過來了
001_001_000081_000001	幸好 不然這山崖這麼高	幸好 不然這山崖這麼高
001_001_000084_000001	不行啦 大哥 我們如果再這樣下去 三個人會一起死 我們只好 只好放棄進輝了 你現在是在說什麼 我也不想把事情做得這麼絕	不行啦 大哥 我們如果再這樣下去 三個人會一起死 我們只好 只好放棄進輝了 你現在是在說什麼 我也不想把事情做得這麼絕
001_001_000085_000001	但是我還有很多願望 還沒實現 那些對不起我的人 還沒趴在地上向我道歉 我不甘願死 大哥你不要忘了 你如果有什麼三長兩短 誰要拿錢回去救你媽	但是我還有很多願望 還沒實現 那些對不起我的人 還沒趴在地上向我道歉 我不甘願死 大哥你不要忘了 你如果有什麼三長兩短 誰要拿錢回去救你媽
001_001_000086_000001	二哥 你不是說你會跟大哥 一起來參加我的婚禮 進輝 你也不要怪我們	二哥 你不是說你會跟大哥 一起來參加我的婚禮 進輝 你也不要怪我們
001_001_000087_000001	你看你現在傷得這麼嚴重 就算我們硬把你帶走 你也不可能活著回去	你看你現在傷得這麼嚴重 就算我們硬把你帶走 你也不可能活著回去
001_001_000088_000001	算我拜託你好不好 你不要拖累我們了 方耀武 枉費我把你當成兄弟	算我拜託你好不好 你不要拖累我們了 方耀武 枉費我把你當成兄弟
001_001_000089_000001	你現在講這種話還是人嗎	你現在講這種話還是人嗎
001_001_000090_000001	如果不是因為進退兩難 我也不可能有這種想法 要怪就怪你 自以為是 逞強 才會害你自己變成這樣 你	如果不是因為進退兩難 我也不可能有這種想法 要怪就怪你 自以為是 逞強 才會害你自己變成這樣 你
001_001_000091_000001	自生自滅嗎	自生自滅嗎
001_001_000114_000001	還有 鬼王現在叫人放狗 四處在找我們 你如果回去 等於是在找死你知道嗎	還有 鬼王現在叫人放狗 四處在找我們 你如果回去 等於是在找死你知道嗎
001_001_000119_000001	是誰說的 是誰說要不顧一切拿到錢 回去救媽媽的命 還有 你看 你媽媽現在正等你 拿這袋鑽石換錢來救他的命	是誰說的 是誰說要不顧一切拿到錢 回去救媽媽的命 還有 你看 你媽媽現在正等你 拿這袋鑽石換錢來救他的命
001_001_000120_000001	替他動手術 你媽媽的健康 不是你的願望嗎 現在反而是你在怪我 是啊 你重兄弟情 你重情重義 要去是嗎 去啊	替他動手術 你媽媽的健康 不是你的願望嗎 現在反而是你在怪我 是啊 你重兄弟情 你重情重義 要去是嗎 去啊
001_001_000121_000001	你去找進輝 讓你媽等死 你去啊	你去找進輝 讓你媽等死 你去啊
001_001_000123_000001	要我眼睜睜 看我的兄弟摔下去 我心裡也很難受	要我眼睜睜 看我的兄弟摔下去 我心裡也很難受
001_001_000135_000001	我怕你賠不起 所以現在你是看不起我 你是怕我沒錢 買你們的豪宅是不是 看到沒有	我怕你賠不起 所以現在你是看不起我 你是怕我沒錢 買你們的豪宅是不是 看到沒有
001_001_000136_000001	你跟我說 你們這豪宅多少錢 看這些現金夠不夠 現金夠不夠	你跟我說 你們這豪宅多少錢 看這些現金夠不夠 現金夠不夠
001_001_000137_000001	什麼沒有 錢最多 看到沒有 我什麼沒有 錢最多	什麼沒有 錢最多 看到沒有 我什麼沒有 錢最多
001_001_000435_000001	你們扣下這期的應付帳款 不給我們	你們扣下這期的應付帳款 不給我們
001_001_000437_000001	在你的心目中 真的是那種自私自利 不講情義的人嗎 你就想方設法 找一些有的沒的理由	在你的心目中 真的是那種自私自利 不講情義的人嗎 你就想方設法 找一些有的沒的理由
