utterance_id	original_text	normalized_text
018_001_000261_000001	我覺得職業婦女真的好辛苦 要一邊忙著工作 另一邊還要忙著 傳宗接代的事	我覺得職業婦女真的好辛苦 要一邊忙著工作 另一邊還要忙著 傳宗接代的事
018_001_000262_000001	辛苦了 不然我看這樣好了 我們資料都準備得差不多了 剩下的就交給我 你們三個先回去	辛苦了 不然我看這樣好了 我們資料都準備得差不多了 剩下的就交給我 你們三個先回去
018_001_000265_000001	曉春 我覺得我好累 好想睡覺	曉春 我覺得我好累 好想睡覺
018_001_000268_000001	這麼有情有義 真是我的好姊妹 這個工作是你介紹給我的 我不知恩圖報可以嗎 你這樣說我反而覺得很抱歉	這麼有情有義 真是我的好姊妹 這個工作是你介紹給我的 我不知恩圖報可以嗎 你這樣說我反而覺得很抱歉
018_001_000269_000001	一天到晚要加班 而且還有一個會壓榨員工 沒良心的女魔頭上司 早知道就不要叫你來了 害你現在這麼辛苦 對不起 道什麼歉	一天到晚要加班 而且還有一個會壓榨員工 沒良心的女魔頭上司 早知道就不要叫你來了 害你現在這麼辛苦 對不起 道什麼歉
018_001_000270_000001	根本就不算什麼好嗎 而且當年要不是你們一家人 收留我 照顧我 我早就在路邊餓死了 我真的很感謝你們 三八 不要一直說謝謝	根本就不算什麼好嗎 而且當年要不是你們一家人 收留我 照顧我 我早就在路邊餓死了 我真的很感謝你們 三八 不要一直說謝謝
018_001_000273_000001	真的不用啦 我回去又沒事 我這隻單身狗要做什麼 我不如成全你們兩位有情人 怎樣 我這個未來的小姑	真的不用啦 我回去又沒事 我這隻單身狗要做什麼 我不如成全你們兩位有情人 怎樣 我這個未來的小姑
018_001_000275_000001		
018_001_000276_000001	小心一點 趕快回去	小心一點 趕快回去
018_001_000282_000001	我留一點錢 給自己買幾件衣服跟鞋子 讓我工作時體面一點 這樣很過分嗎	我留一點錢 給自己買幾件衣服跟鞋子 讓我工作時體面一點 這樣很過分嗎
018_001_000294_000001	子維 算了啦 不要再惹他們了 你的傷有沒有怎樣	子維 算了啦 不要再惹他們了 你的傷有沒有怎樣
018_001_000297_000001	不用了 這雙黏好還可以穿 你別再為我亂花錢了	不用了 這雙黏好還可以穿 你別再為我亂花錢了
018_001_000299_000001	你的薪水不是都交給你媽了 怎麼還有錢	你的薪水不是都交給你媽了 怎麼還有錢
018_001_000301_000001	不行 我已經麻煩你們很多 不可以再拿你們的錢了	不行 我已經麻煩你們很多 不可以再拿你們的錢了
018_001_000303_000001	當然不是 我爸被抓去關以後 是你們一家人收留我 不只曉春把我當成親姊妹 阿姨也把我當做女兒疼愛	當然不是 我爸被抓去關以後 是你們一家人收留我 不只曉春把我當成親姊妹 阿姨也把我當做女兒疼愛
018_001_000304_000001	你更是把我捧在手心 保護我 照顧我 你們對我的好我都放在心裡 只是不知道該如何報答	你更是把我捧在手心 保護我 照顧我 你們對我的好我都放在心裡 只是不知道該如何報答
018_001_000306_000001	可以遇到你們 真的是我這輩子最幸運的事 真的很希望這份好運 可以一直延續到永遠	可以遇到你們 真的是我這輩子最幸運的事 真的很希望這份好運 可以一直延續到永遠
018_001_000317_000001	理事長你好 我幫你介紹一下	理事長你好 我幫你介紹一下
018_001_000329_000001	一大早就打電話來吵 喂 誰	一大早就打電話來吵 喂 誰
018_001_000331_000001	抱歉 我不小心睡著了 我昨晚都在忙投標的文件 我整晚都沒睡	抱歉 我不小心睡著了 我昨晚都在忙投標的文件 我整晚都沒睡
018_001_000334_000001	是 我知道 我一定會更注意 我保證 我絕對會拿到投標資格	是 我知道 我一定會更注意 我保證 我絕對會拿到投標資格
018_001_000339_000001	不過你這條金項鍊 跟你今天的造型不是很搭 要換一條嗎	不過你這條金項鍊 跟你今天的造型不是很搭 要換一條嗎
018_001_000351_000001	他會覺得很不好意思	他會覺得很不好意思
018_001_000355_000001	平時都是我幫媽洗腳按摩的 你們現在是當著大家的面 搶我的功勞嗎 媽 還是我來幫你洗腳吧	平時都是我幫媽洗腳按摩的 你們現在是當著大家的面 搶我的功勞嗎 媽 還是我來幫你洗腳吧
018_001_000356_000001	我這個好媳婦是裝的	我這個好媳婦是裝的
018_001_000363_000001	老人家皮膚比較敏感 這水有點燙 可以加一點冷水嗎 好 沒問題 謝謝 媽 你真的是富貴命	老人家皮膚比較敏感 這水有點燙 可以加一點冷水嗎 好 沒問題 謝謝 媽 你真的是富貴命
018_001_000366_000001	媽 來 你試一下	媽 來 你試一下
018_001_000370_000001	媽 這個粗鹽 對你的腳皮膚很好 我已經很輕了 是你皮膚比較細緻 忍耐一點	媽 這個粗鹽 對你的腳皮膚很好 我已經很輕了 是你皮膚比較細緻 忍耐一點
018_001_000376_000001	請吃我特地為你準備的 營養餐點 看你們這麼狗腿的分上 不枉費我熬夜沒睡 趕出這些資料了 需要再檢查一遍嗎	請吃我特地為你準備的 營養餐點 看你們這麼狗腿的分上 不枉費我熬夜沒睡 趕出這些資料了 需要再檢查一遍嗎
018_001_000377_000001	就沒辦法再改了 不用啦 這些文件我都已經檢查過了 現在就只差保證金了	就沒辦法再改了 不用啦 這些文件我都已經檢查過了 現在就只差保證金了
018_001_000381_000001	我要玩捉迷藏 好	我要玩捉迷藏 好
018_001_000385_000001	曉春 我看這次的對手不少 應該是一場硬戰	曉春 我看這次的對手不少 應該是一場硬戰
018_001_000390_000001	前面一個一 這樣才一億	前面一個一 這樣才一億
018_001_000392_000001	叫銀行重開一張本票過來 好 快點	叫銀行重開一張本票過來 好 快點
018_001_000394_000001	應該不是 這個標案如果成功 他應該可以升上總經理 他不可能害自己的 算了 我先打電話給馬德琳	應該不是 這個標案如果成功 他應該可以升上總經理 他不可能害自己的 算了 我先打電話給馬德琳
018_001_000397_000001	重開一張本票過來 那我跟曉春在這裡等 我先提醒你	重開一張本票過來 那我跟曉春在這裡等 我先提醒你
018_001_000399_000001	對不起 副總	對不起 副總
018_001_000403_000001	我要去那間網紅咖啡廳 買蛋糕跟咖啡 不行啦 標案等一下就要截止收件了	我要去那間網紅咖啡廳 買蛋糕跟咖啡 不行啦 標案等一下就要截止收件了
018_001_000404_000001	又不差這五分鐘 不過這裡是紅線不可以停車 停一下而已 沒關係啦 好啦 不然你趕快去買 我在車上等你	又不差這五分鐘 不過這裡是紅線不可以停車 停一下而已 沒關係啦 好啦 不然你趕快去買 我在車上等你
018_001_000405_000001	你是把我當成你的祕書嗎	你是把我當成你的祕書嗎
018_001_000408_000001	你們這些警察 整天閒著沒事做 專門找我們有錢人的麻煩 根本就是把我們當成提款機	你們這些警察 整天閒著沒事做 專門找我們有錢人的麻煩 根本就是把我們當成提款機
018_001_000416_000001	快點 先不要上封條 時間還沒到	快點 先不要上封條 時間還沒到
018_001_000418_000001	曉春 現在該怎麼辦 唯芸 先休息一下 來 喝茶	曉春 現在該怎麼辦 唯芸 先休息一下 來 喝茶
018_001_000420_000001	投標順利嗎 什麼 保證金的金額開錯了 唯芸	投標順利嗎 什麼 保證金的金額開錯了 唯芸
018_001_000421_000001	重新開一張銀行本票 那金額那麼大 我	重新開一張銀行本票 那金額那麼大 我
018_001_000432_000001	我跟勝強結婚之前	我跟勝強結婚之前
