utterance_id	original_text	normalized_text
000_001_000155_000001	當初我成立勝發集團的時候 我就有一個願望 我想要蓋最好的房子 讓一般人可以實現 有家的願望	當初我成立勝發集團的時候 我就有一個願望 我想要蓋最好的房子 讓一般人可以實現 有家的願望
000_001_000156_000001	現在總算美夢成真了 安迪 接下來的日子你會比較辛苦 未來你就儘管去發揮 一定要把房子蓋好	現在總算美夢成真了 安迪 接下來的日子你會比較辛苦 未來你就儘管去發揮 一定要把房子蓋好
000_001_000157_000001	我全力支持你 是 謝謝爸	我全力支持你 是 謝謝爸
000_001_000160_000001	董事長 這裡沒有外人 怎麼叫都沒關係 珍妮 坐	董事長 這裡沒有外人 怎麼叫都沒關係 珍妮 坐
000_001_000162_000001	昨天我跟幾個老朋友吃飯 聽他們說 有一塊五千坪的土地要拍賣 地理位置很好 很方正 很適合當我們集團 未來的總部 不過明天就是 資格標登記的最後一天	昨天我跟幾個老朋友吃飯 聽他們說 有一塊五千坪的土地要拍賣 地理位置很好 很方正 很適合當我們集團 未來的總部 不過明天就是 資格標登記的最後一天
000_001_000163_000001	時間有點趕 你們姊弟如果願意協力合作 還是有機會的  沒問題	時間有點趕 你們姊弟如果願意協力合作 還是有機會的  沒問題
000_001_000171_000001	我爸叫你出去 我叫你出去 把事情處理好再進來見我	我爸叫你出去 我叫你出去 把事情處理好再進來見我
000_001_000173_000001	交給珍妮負責就好 爸	交給珍妮負責就好 爸
000_001_000174_000001	叫董事長 副總 請	叫董事長 副總 請
000_001_000178_000001		
000_001_000322_000001	我也是這麼想 所以我今天一定要來參加 模範婆媳表揚大會 讓所有人知道我這麼幸運	我也是這麼想 所以我今天一定要來參加 模範婆媳表揚大會 讓所有人知道我這麼幸運
000_001_000326_000001	怎麼沒看到珍妮	怎麼沒看到珍妮
000_001_000333_000001	我以為你整晚沒回來 跑去哪裡玩了 我再提醒你一下 送件的資料要詳細檢查 不能有缺漏 還有開標的時候 一定要派人去現場盯著 絕對不能有任何差錯 知道嗎	我以為你整晚沒回來 跑去哪裡玩了 我再提醒你一下 送件的資料要詳細檢查 不能有缺漏 還有開標的時候 一定要派人去現場盯著 絕對不能有任何差錯 知道嗎
000_001_000352_000001	孝順長輩 有什麼不好意思的 不然我幫媽洗好了 媽 去那裡坐	孝順長輩 有什麼不好意思的 不然我幫媽洗好了 媽 去那裡坐
000_001_000353_000001	你坐下 我來	你坐下 我來
000_001_000372_000001	我要去公司開會 結束之後你送媽回去	我要去公司開會 結束之後你送媽回去
000_001_000373_000001	媽 我跟安迪先走了	媽 我跟安迪先走了
000_001_000384_000001	好 我馬上過去 董事長 我有重要的事出去一下 你們繼續開會	好 我馬上過去 董事長 我有重要的事出去一下 你們繼續開會
000_001_000430_000001	今天我差一點 就找到你太太了 這個女人對我來說很重要 你可不可以再想辦法 調其他的畫面給我	今天我差一點 就找到你太太了 這個女人對我來說很重要 你可不可以再想辦法 調其他的畫面給我
000_001_000434_000001	我答應你的事情 我就會做到 我一定會找到你的妻小 彌補我對你的虧欠	我答應你的事情 我就會做到 我一定會找到你的妻小 彌補我對你的虧欠
000_001_000436_000001	請問什麼意思 你欠一些包商幾個月的錢 還跳票 他們都來找我討債了 我不用先幫你處理一下嗎 大哥 到底我方耀武	請問什麼意思 你欠一些包商幾個月的錢 還跳票 他們都來找我討債了 我不用先幫你處理一下嗎 大哥 到底我方耀武
